user_id,country,plan,tenure_days,total_minutes_90d,avg_minutes_per_session_90d,sessions_90d,mobile_share_90d,avg_completion_90d,titles_started_90d,distinct_titles_90d,sessions_7d,sessions_14d,sessions_30d,recency_days,top_genre_90d,churn_probability,label
312,CA,basic,126,667.0,60.63636363636363,11,0.6363636363636364,0.32738134567080607,21,21,0.0,0.0,0.0,52,Documentary,0.9787915981367697,0
4042,CA,basic,345,1132.0,70.75,16,1.0,0.5934072401229251,20,20,0.0,0.0,0.0,59,Documentary,0.9782456762284943,1
3225,US,standard,175,328.0,65.6,5,1.0,0.32092378911738667,10,10,0.0,0.0,0.0,71,Documentary,0.9765111208053159,1
1035,IN,basic,145,1090.0,54.5,20,0.8,0.4927156998976548,38,38,0.0,0.0,0.0,41,Kids,0.974029774585773,1
867,US,basic,134,1923.0,71.22222222222223,27,0.8888888888888888,0.5416951828978587,38,37,0.0,0.0,0.0,66,Documentary,0.9733601301668497,1
4681,US,standard,132,2330.0,62.972972972972975,37,0.7567567567567568,0.5574566422045519,53,53,0.0,0.0,0.0,49,Comedy,0.9727709999641059,1
3326,CA,basic,429,420.0,70.0,6,0.8333333333333334,0.3524880596201585,10,10,0.0,0.0,0.0,43,Documentary,0.9723045829570803,1
4504,AU,standard,174,1066.0,71.06666666666666,15,0.7333333333333333,0.5345768766531561,21,21,0.0,0.0,1.0,19,Documentary,0.9717021786028981,1
334,CA,standard,259,2486.0,67.1891891891892,37,0.5405405405405406,0.5785182890725392,52,49,0.0,0.0,0.0,65,Comedy,0.9703650454310662,1
211,IN,standard,447,863.0,53.9375,16,0.875,0.4549163027318868,19,19,0.0,0.0,0.0,31,Sci-Fi,0.9699678595802553,1
2457,CA,basic,104,2624.0,65.6,40,0.9,0.5765761532504221,61,59,0.0,0.0,0.0,68,Documentary,0.9681346309051779,1
103,AU,standard,304,1439.0,71.95,20,0.7,0.5453851511408613,32,32,0.0,1.0,2.0,11,Crime,0.9680006011586908,1
3217,US,standard,425,487.0,54.111111111111114,9,0.8888888888888888,0.5462922259118612,16,16,0.0,0.0,0.0,43,Sci-Fi,0.9658079986017117,1
311,IN,standard,321,1637.0,68.20833333333333,24,0.6666666666666666,0.5688361073687577,48,48,0.0,0.0,0.0,62,Crime,0.9658033255189696,1
746,UK,standard,145,916.0,50.888888888888886,18,0.7222222222222222,0.5361657121941921,33,32,0.0,0.0,1.0,19,Kids,0.9651296243668276,1
3124,US,basic,113,542.0,49.27272727272727,11,0.7272727272727273,0.48531235449769394,20,20,0.0,0.0,0.0,61,Romance,0.9650081320965767,1
3920,CA,basic,146,1487.0,55.074074074074076,27,0.6666666666666666,0.49084358744114076,35,34,0.0,0.0,0.0,58,Kids,0.9647600570254911,1
130,CA,basic,207,6278.0,60.95145631067961,103,0.7087378640776699,0.5425031528532982,151,144,0.0,0.0,0.0,53,Kids,0.9637623526285889,1
537,UK,standard,207,4565.0,61.689189189189186,74,0.6891891891891891,0.5369393774583543,111,104,4.0,12.0,27.0,1,Comedy,0.9634067211793271,1
798,US,premium,123,1061.0,75.78571428571429,14,0.9285714285714286,0.33137335539906504,21,20,0.0,0.0,0.0,31,Kids,0.9624240227440398,1
3755,CA,standard,439,1957.0,54.361111111111114,36,0.6388888888888888,0.5327698218338474,52,49,0.0,0.0,0.0,43,Comedy,0.9623879764895695,1
4627,US,basic,164,748.0,62.333333333333336,12,0.6666666666666666,0.44525348838180645,22,21,0.0,1.0,1.0,14,Documentary,0.9621775358434,1
5000,UK,standard,421,6872.0,62.472727272727276,110,0.8181818181818182,0.5385039920485681,153,137,0.0,0.0,3.0,19,Sci-Fi,0.9621733759535128,1
2474,CA,basic,129,1889.0,69.96296296296296,27,0.8888888888888888,0.5339948834818966,36,35,0.0,0.0,2.0,27,Documentary,0.9618365272520821,0
637,US,standard,103,1089.0,64.05882352941177,17,0.5294117647058824,0.5320994276991643,21,20,0.0,0.0,0.0,59,Kids,0.9617519962815859,1
346,CA,standard,194,1485.0,74.25,20,0.5,0.5502477433556411,34,34,0.0,0.0,0.0,50,Comedy,0.9616566115671049,1
4868,CA,standard,409,6068.0,58.9126213592233,103,0.7961165048543689,0.5785511492183343,162,144,0.0,0.0,0.0,47,Documentary,0.9611649635972301,1
4668,US,premium,101,1156.0,57.8,20,0.8,0.45643507754942014,29,29,0.0,0.0,0.0,40,Sci-Fi,0.9606682682267299,1
1040,US,premium,162,339.0,56.5,6,0.6666666666666666,0.3449818586624295,8,8,0.0,0.0,0.0,70,Kids,0.9597070587909523,1
4657,US,basic,373,5108.0,59.395348837209305,86,0.7441860465116279,0.5329598262387791,124,115,0.0,0.0,0.0,56,Kids,0.9591463074128852,1
4576,US,basic,125,883.0,63.07142857142857,14,0.6428571428571429,0.4579477583203983,27,27,0.0,0.0,0.0,58,Documentary,0.9590723616804756,1
387,IN,standard,358,3336.0,60.654545454545456,55,0.6181818181818182,0.5414940720199157,79,74,0.0,0.0,0.0,54,Comedy,0.9589395824133126,1
229,CA,basic,439,380.0,54.285714285714285,7,0.7142857142857143,0.32016288039267027,14,14,0.0,0.0,0.0,44,Drama,0.9588636018709611,1
2136,CA,standard,390,3485.0,71.12244897959184,49,0.8571428571428571,0.5380761378523569,79,73,0.0,0.0,0.0,63,Documentary,0.9581710755494752,1
1161,IN,standard,448,1948.0,54.111111111111114,36,0.7222222222222222,0.5601936845868117,48,48,0.0,0.0,1.0,28,Romance,0.9581246337910034,1
278,CA,standard,390,1517.0,75.85,20,0.6,0.5506815433524315,25,25,0.0,0.0,0.0,38,Crime,0.9577439264387927,1
